Kategoria,Nazwa,Opis,Cena,Oznaczenia,Aktywne
Poniedziałek,Zupa dnia – przykład,krem z pomidorów z bazylią,"18,00 zł",,nie
Poniedziałek,Danie dnia – przykład,tagliatelle z kurczakiem i szpinakiem,"32,00 zł",,nie
Wtorek,Zupa dnia – przykład,rosół z makaronem,"18,00 zł",,nie
Wtorek,Danie dnia – przykład,risotto z warzywami,"32,00 zł",wege,nie
Środa,Zupa dnia – przykład,zupa krem z cukinii,"18,00 zł",wege,nie
Środa,Danie dnia – przykład,pieczony kurczak z ziemniakami,"32,00 zł",,nie
Czwartek,Zupa dnia – przykład,minestrone,"18,00 zł",wege,nie
Czwartek,Danie dnia – przykład,gnocchi z sosem pomidorowym,"32,00 zł",wege,nie
Piątek,Zupa dnia – przykład,zupa rybna,"20,00 zł",,nie
Piątek,Danie dnia – przykład,smażony dorsz z puree,"36,00 zł",,nie
