Kategoria,Nazwa,Opis,Cena,Oznaczenia,Aktywne
Oferta sezonowa,Sałatka z grillowanego ogórka,"grillowany zielony ogórek marynowany w aromatycznym dressingu z koperku, pikantnej papryczki peperoni, czosnku i cytryny w oliwie, podawany z bryndzą, kozim serem, grecką fetą, granatem i bułeczką z pieca","45,00 zł",,tak
Oferta sezonowa,Placki ziemniaczane z sosem kurkowym,podawane z rukolą i szynką parmeńską,"46,00 zł",,tak
Oferta sezonowa,Filet z sandacza z fasolką szparagową,"przyrządzony w białym winie z dodatkiem pora, czosnku, chili, fasolki szparagowej i pomidorków cherry, podany z grillowanymi ziemniakami","82,00 zł",,tak
Oferta sezonowa,Czarne tagliatelle z krewetkami i bobem,z pikantną spianatą w sosie maślanym z koperkiem,"62,00 zł",,tak
Oferta sezonowa,Tagliatelle z pancettą i bobem,"z cebulą i czosnkiem w kremowym sosie na bazie śmietanki, mascarpone i parmezanu","55,00 zł",,tak
Oferta sezonowa,Spaghetti z bobem,"z koperkiem, czosnkiem, chili, sosem pomidorowym i parmezanem","47,00 zł",,tak
Oferta sezonowa,Risotto z kurczakiem i kurkami,,"62,00 zł",,tak
Oferta sezonowa,Pizza Finferli con pollo,"mozzarella fior di latte, duszone kurki z cebulą i czosnkiem, kurczak, masło ziołowo-czosnkowe","52,00 zł",,tak
Oferta sezonowa,Pizza Finferli Wege,"mozzarella fior di latte, duszone kurki z cebulą i czosnkiem, burrata, trufla","56,00 zł",,tak
Oferta sezonowa,Chłodnik litewski z jajkiem,"chłodnik z buraków, świeżego ogórka, rzodkiewki, koperku, szczypiorku i czosnku, serwowany z jajkiem","32,00 zł",,tak
Oferta sezonowa,Stek z rostbefu,"około 250 g, z sosem kurkowym, grillowanymi ziemniakami i sałatką ze świeżych warzyw","109,00 zł",,tak
